NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
1000020255,TIM,Avenida Norte- Rn 118 S/NCentro S/N -,RN,2404705,Ipanguaçu,05S3009,36W5124,SIM,SIM,SIM,
1000143942,CLARO,ROD BR 101 S/N ,RN,2412203,São José de Mipibu,06S0203,35W1453,SIM,,SIM,
1000166578,VIVO,Avenida Rui Pereira dos Santos 3100 ,RN,2412005,São Gonçalo do Amarante,05S4601,35W2151,SIM,SIM,,
1000169356,VIVO,AEROPORTO SÃO GONÇALO DO AMARANTE S/N ,RN,2412005,São Gonçalo do Amarante,05S4547,35W2209,SIM,SIM,SIM,
1000202256,VIVO,AVENIDA SENADOR SALGADO FILHO S/N ,RN,2408102,Natal,05S4936,35W1241,SIM,SIM,SIM,
1000276390,TIM,Avenida Expedicionarios 107 -,RN,2408102,Natal,05S4543,35W1647,SIM,SIM,SIM,SIM
1000305837,VIVO,Avenida Presidente Café Filho 369 ,RN,2408102,Natal,05S4539,35W1148,SIM,SIM,SIM,
1000305845,VIVO,RUA CORONEL NORTON CHAVES 2332 ,RN,2408102,Natal,05S4933,35W1224,SIM,SIM,SIM,SIM
1000305853,VIVO,RUA GERÔNIMO CARAMA 1254 ,RN,2408102,Natal,05S4926,35W1306,SIM,SIM,SIM,SIM
1000305861,VIVO,Rua Francisco Ivo S/N ,RN,2408102,Natal,05S4510,35W1210,SIM,SIM,SIM,
1000321468,VIVO,Rua da Pescada 71 ,RN,2408102,Natal,05S4932,35W1248,,SIM,,
1000321581,VIVO,Avenida Ayrton Senna S/N ,RN,2408102,Natal,05S5100,35W1221,SIM,SIM,,
1000321646,VIVO, Avenida Prudente de Morais - nº 5121 5121 ,RN,2408102,Natal,05S4932,35W1248,SIM,SIM,SIM,
1000322375,VIVO, Avenida Prudente de Morais - nº 5121 5121 ,RN,2408102,Natal,05S4932,35W1248,SIM,SIM,SIM,
1000576822,TIM,Rua Narcisio S/N -,RN,2408102,Natal,05S5027,35W1446,,SIM,SIM,SIM
1000703069,VIVO, Rua da Pescada 71 ,RN,2408102,Natal,05S4407,35W1410,SIM,SIM,SIM,
1000838371,CLARO,R DA BOA VISTA S/N ACESSO PELA RODOVIA BR 406/ANTONIO SEVERIANO DA CAMARA 1348,RN,2405801,João Câmara,05S3229,35W4802,,SIM,SIM,
1000838770,CLARO,R JAIME DE SOUZA S/N LOTE 2182/QD 71,RN,2403251,Parnamirim,05S5523,35W1704,,SIM,SIM,SIM
1000916305,VIVO,Avenida Aeroporto Augusto Severo S/N ,RN,2403251,Parnamirim,05S5400,35W1452,,SIM,,
1000990130,TIM,Avenida Firmino Moura S/N -,RN,2412005,São Gonçalo do Amarante,05S4526,35W1755,,SIM,SIM,SIM
1001285724,VIVO,Rua São Vicente 288 ,RN,2403251,Parnamirim,05S5527,35W1627,,SIM,,
1001302181,TIM,RUA DOM ANTÔNIO DE ALMEIDA LUSTOSA 3 ,RN,2408102,Natal,05S5119,35W1545,,SIM,SIM,SIM
1001302416,TIM,RUA DOUTOR JULIANO MOREIRA S/N AQUISITADO,RN,2408102,Natal,05S4326,35W1429,,SIM,SIM,SIM
1001302564,TIM,RUA ÁGUAS DE CISNE 70 ,RN,2408102,Natal,05S4422,35W1614,,SIM,SIM,SIM
1001381561,CLARO,RUA PAULO JARDIMS/NDISTRITO INDUSTRIAL  ,RN,2407104,Macaíba,05S5237,35W1900,,SIM,SIM,
1001525032,VIVO,RUA DA ASSOCIAÇÃO S/N ,RN,2403608,Extremoz,05S4200,35W1143,SIM,SIM,,
1001602886,TIM,Rua Votuporanga 0 Vz 818 S/N -,RN,2408102,Natal,05S4427,35W1526,,SIM,SIM,SIM
1001671187,TIM,Rua: Manoel Peninha S/N -,RN,2408102,Natal,05S5317,35W1013,,SIM,SIM,
1001736505,TIM,RUA ITAMAR MACIEL 322 ,RN,2408102,Natal,05S4928,35W1550,,SIM,SIM,SIM
1001737005,TIM,RUA RAIMUNDO ANDRADE S/N ,RN,2408003,Mossoró,05S1225,37W1816,,SIM,SIM,
1001751970,TIM,Rua Santo Amaro 14 -,RN,2408102,Natal,05S4805,35W1346,,SIM,SIM,SIM
